# Summermyst affixes for Diablo In Skyrim
#
# Generated by the in-game discovery pass, then curated. Everything numeric --
# the mgef token, slots, duration, area and the magnitude bands -- is READ from
# Summermyst's own records, so each affix starts from its author's balance
# rather than from ours.
#
# WEIGHT 40 against the base table's 100. With 67 affixes here and 48 there,
# equal weights would make Summermyst roughly three rolls in five. At 40 it is
# closer to one in three: present everywhere, dominant nowhere.
#
# WHAT WAS CUT, and why, in case you want any of it back:
#   * 110 effects whose archetype is Script -- the behaviour lives in a Papyrus
#     script attached to Summermyst's OWN enchantment, which our created
#     enchantment does not carry. The magnitude is a parameter for that script.
#   * 86 sub-components ("Invisibility - Vs Player", "Triptych: Attributes").
#     Half an effect is not an affix.
#   * 167 with a single magnitude and no range -- toggles in disguise. Inventing
#     three tiers from one data point would fabricate balance.
#   * magnitudes above 100, which is where the base table tops out. Discharge
#     read 200-633 and Roulette 50-133: script parameters, not damage.
#   * "Fire Damage", which carried duration 1337 -- a sentinel, not a duration.
#   * 17 by name, listed below, whose mechanics need Summermyst's scripting to
#     mean anything: Alarm, Command Daedra, Goldstrike, King of the Lost, Magic
#     Find, Magnet, Nova, Quake, Roulette, Soul Harvest, Steal Weapons, Windfall,
#     Heal, Increased Experience, and the three Area effects.
#   * Polar Fire Damage and Polar Frost Damage, both flagged hide-in-UI: they
#     are halves of Summermyst's Polar enchantment and draw no item-card line,
#     so they would apply invisibly and read as an unexplained rename.
#   * Balefire, which appears twice under one id -- two distinct effects whose
#     names normalise identically.
#
# Points are 1/2/3 by tier and minItemLevel is 1/12/25, both defaults rather
# than judgements. The suffix is "of <EffectName>", which reads clunky in places
# and is worth a pass.
#
affixId,name,category,tier,points,minValue,maxValue,unit,duration,area,slots,weight,minItemLevel,mgef,npcExclude,prefix,suffix
weakness_to_frost,Weakness to Frost,Modded,3,3,37,50,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3C5F4B,0,Chillmarked,of Brittleness
weakness_to_shock,Weakness to Shock,Modded,1,1,10,23,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x3C5F4C,0,Stormmarked,of Conduction
weakness_to_shock,Weakness to Shock,Modded,2,2,23,37,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x3C5F4C,0,Stormmarked,of Conduction
weakness_to_shock,Weakness to Shock,Modded,3,3,37,50,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x3C5F4C,0,Stormmarked,of Conduction
halt,Halt!,Modded,1,1,6,9,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x3422C9,0,Steadfast,of Halting
halt,Halt!,Modded,2,2,9,12,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x3422C9,0,Steadfast,of Halting
halt,Halt!,Modded,3,3,12,15,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x3422C9,0,Steadfast,of Halting
death_s_door,Death's Door,Modded,1,1,5,15,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x32DE9E,0,Grim,of the Threshold
death_s_door,Death's Door,Modded,2,2,15,25,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x32DE9E,0,Grim,of the Threshold
death_s_door,Death's Door,Modded,3,3,25,35,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x32DE9E,0,Grim,of the Threshold
reactive_barrier,Reactive Barrier,Modded,1,1,6,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x323C67,0,Bulwarked,of the Aegis
reactive_barrier,Reactive Barrier,Modded,2,2,12,19,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x323C67,0,Bulwarked,of the Aegis
reactive_barrier,Reactive Barrier,Modded,3,3,19,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x323C67,0,Bulwarked,of the Aegis
spikes,Spikes,Modded,1,1,5,13,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x43048A,0,Barbed,of Thorns
spikes,Spikes,Modded,2,2,13,22,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x43048A,0,Barbed,of Thorns
spikes,Spikes,Modded,3,3,22,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x43048A,0,Barbed,of Thorns
drain_damage,Drain Damage,Modded,1,1,5,13,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x2DCE40,0,Withering,of Withering
drain_damage,Drain Damage,Modded,2,2,13,22,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x2DCE40,0,Withering,of Withering
drain_damage,Drain Damage,Modded,3,3,22,30,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x2DCE40,0,Withering,of Withering
shifting_earth,Shifting Earth,Modded,1,1,15,30,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x2D7D3E,0,Quaking,of Upheaval
shifting_earth,Shifting Earth,Modded,2,2,30,45,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x2D7D3E,0,Quaking,of Upheaval
shifting_earth,Shifting Earth,Modded,3,3,45,60,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x2D7D3E,0,Quaking,of Upheaval
fortify_total_armor,Fortify Total Armor,Modded,1,1,5,10,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x2728F4,0,Plated,of Plating
fortify_total_armor,Fortify Total Armor,Modded,2,2,10,15,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x2728F4,0,Plated,of Plating
fortify_total_armor,Fortify Total Armor,Modded,3,3,15,20,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x2728F4,0,Plated,of Plating
frenzy,Frenzy,Modded,1,1,4,9,flat,30,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x21763D,0,Raging,of Rage
frenzy,Frenzy,Modded,2,2,9,13,flat,30,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x21763D,0,Raging,of Rage
frenzy,Frenzy,Modded,3,3,13,18,flat,30,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x21763D,0,Raging,of Rage
battle_hunger,Battle Hunger,Modded,1,1,3,6,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x24A05A,0,Ravening,of Ravening
battle_hunger,Battle Hunger,Modded,2,2,6,9,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x24A05A,0,Ravening,of Ravening
battle_hunger,Battle Hunger,Modded,3,3,9,12,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x24A05A,0,Ravening,of Ravening
rolling_thunder,Rolling Thunder,Modded,1,1,15,27,flat,5,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x25E4DD,0,Thundering,of Thunder
rolling_thunder,Rolling Thunder,Modded,2,2,27,38,flat,5,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x25E4DD,0,Thundering,of Thunder
rolling_thunder,Rolling Thunder,Modded,3,3,38,50,flat,5,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x25E4DD,0,Thundering,of Thunder
death_shroud,Death Shroud,Modded,1,1,10,20,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1F3F25,0,Grave-Touched,of the Shroud
death_shroud,Death Shroud,Modded,2,2,20,30,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1F3F25,0,Grave-Touched,of the Shroud
death_shroud,Death Shroud,Modded,3,3,30,40,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1F3F25,0,Grave-Touched,of the Shroud
horsemanship,Horsemanship,Modded,1,1,15,20,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1CB6C1,0,Rider's,of the Rider
horsemanship,Horsemanship,Modded,2,2,20,25,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1CB6C1,0,Rider's,of the Rider
horsemanship,Horsemanship,Modded,3,3,25,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1CB6C1,0,Rider's,of the Rider
unbreakable,Unbreakable,Modded,1,1,6,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1C65AC,0,Adamant,of the Unbroken
unbreakable,Unbreakable,Modded,2,2,12,19,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1C65AC,0,Adamant,of the Unbroken
unbreakable,Unbreakable,Modded,3,3,19,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1C65AC,0,Adamant,of the Unbroken
recharge_weapons,Recharge Weapons,Modded,1,1,3,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x193B11,0,Rekindling,of Rekindling
recharge_weapons,Recharge Weapons,Modded,2,2,12,21,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x193B11,0,Rekindling,of Rekindling
recharge_weapons,Recharge Weapons,Modded,3,3,21,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x193B11,0,Rekindling,of Rekindling
deep_breath,Deep Breath,Modded,1,1,5,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1898F7,0,Tidebound,of the Deep
deep_breath,Deep Breath,Modded,2,2,12,18,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1898F7,0,Tidebound,of the Deep
deep_breath,Deep Breath,Modded,3,3,18,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1898F7,0,Tidebound,of the Deep
shalidor_s_shield,Shalidor's Shield,Modded,1,1,9,16,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1847F2,0,Shalidor's,of the Archmage
shalidor_s_shield,Shalidor's Shield,Modded,2,2,16,23,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1847F2,0,Shalidor's,of the Archmage
shalidor_s_shield,Shalidor's Shield,Modded,3,3,23,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1847F2,0,Shalidor's,of the Archmage
fortify_power_attacks,Fortify Power Attacks,Modded,1,1,10,20,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1754E7,0,Forceful,of Force
fortify_power_attacks,Fortify Power Attacks,Modded,2,2,20,30,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1754E7,0,Forceful,of Force
fortify_power_attacks,Fortify Power Attacks,Modded,3,3,30,40,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1754E7,0,Forceful,of Force
fortify_critical_strikes,Fortify Critical Strikes,Modded,1,1,8,15,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1754E4,0,Precise,of Precision
fortify_critical_strikes,Fortify Critical Strikes,Modded,2,2,15,23,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1754E4,0,Precise,of Precision
fortify_critical_strikes,Fortify Critical Strikes,Modded,3,3,23,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1754E4,0,Precise,of Precision
cheat_death,Cheat Death,Modded,1,1,5,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x17A5ED,0,Fateful,of Second Breath
cheat_death,Cheat Death,Modded,2,2,12,18,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x17A5ED,0,Fateful,of Second Breath
cheat_death,Cheat Death,Modded,3,3,18,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x17A5ED,0,Fateful,of Second Breath
fortify_potions,Fortify Potions,Modded,1,1,15,27,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x16B2DF,0,Apothecary's,of Apothecaries
fortify_potions,Fortify Potions,Modded,2,2,27,38,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x16B2DF,0,Apothecary's,of Apothecaries
fortify_potions,Fortify Potions,Modded,3,3,38,50,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x16B2DF,0,Apothecary's,of Apothecaries
fortify_bashing,Fortify Bashing,Modded,1,1,6,14,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1A7F5E,0,Battering,of Bashing
fortify_bashing,Fortify Bashing,Modded,2,2,14,22,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1A7F5E,0,Battering,of Bashing
fortify_bashing,Fortify Bashing,Modded,3,3,22,30,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1A7F5E,0,Battering,of Bashing
imminent_victory,Imminent Victory,Modded,1,1,5,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1A7F60,0,Triumphant,of Triumph
imminent_victory,Imminent Victory,Modded,2,2,12,18,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1A7F60,0,Triumphant,of Triumph
imminent_victory,Imminent Victory,Modded,3,3,18,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1A7F60,0,Triumphant,of Triumph
stability,Stability,Modded,1,1,10,18,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1A2E5B,0,Unyielding,of Steadfastness
stability,Stability,Modded,2,2,18,27,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1A2E5B,0,Unyielding,of Steadfastness
stability,Stability,Modded,3,3,27,35,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1A2E5B,0,Unyielding,of Steadfastness
philosopher_s_stone,Philosopher's Stone,Modded,1,1,5,17,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x1A2E58,0,Transmuting,of Transmutation
philosopher_s_stone,Philosopher's Stone,Modded,2,2,17,28,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x1A2E58,0,Transmuting,of Transmutation
philosopher_s_stone,Philosopher's Stone,Modded,3,3,28,40,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x1A2E58,0,Transmuting,of Transmutation
fortify_speed,Fortify Speed,Modded,1,1,5,10,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x198C3B,0,Swift,of Swiftness
fortify_speed,Fortify Speed,Modded,2,2,10,15,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x198C3B,0,Swift,of Swiftness
fortify_speed,Fortify Speed,Modded,3,3,15,20,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x198C3B,0,Swift,of Swiftness
siphon_stamina,Siphon Stamina,Modded,1,1,5,10,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x198C3A,0,Vigorfed,of Vigorflow
siphon_stamina,Siphon Stamina,Modded,2,2,10,15,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x198C3A,0,Vigorfed,of Vigorflow
siphon_stamina,Siphon Stamina,Modded,3,3,15,20,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x198C3A,0,Vigorfed,of Vigorflow
siphon_magicka,Siphon Magicka,Modded,1,1,5,10,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x198C39,0,Arcane-Fed,of Manaflow
siphon_magicka,Siphon Magicka,Modded,2,2,10,15,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x198C39,0,Arcane-Fed,of Manaflow
siphon_magicka,Siphon Magicka,Modded,3,3,15,20,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x198C39,0,Arcane-Fed,of Manaflow
siphon_health,Siphon Health,Modded,1,1,5,10,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x198C33,0,Bloodfed,of Bloodletting
siphon_health,Siphon Health,Modded,2,2,10,15,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x198C33,0,Bloodfed,of Bloodletting
siphon_health,Siphon Health,Modded,3,3,15,20,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x198C33,0,Bloodfed,of Bloodletting
sun_damage,Sun Damage,Modded,1,1,15,27,flat,0,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x051158,0,Sunhallow,of Sunfire
sun_damage,Sun Damage,Modded,2,2,27,38,flat,0,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x051158,0,Sunhallow,of Sunfire
sun_damage,Sun Damage,Modded,3,3,38,50,flat,0,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x051158,0,Sunhallow,of Sunfire
killstreak,Killstreak,Modded,1,1,4,11,flat,1,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x051205,0,Relentless,of Momentum
killstreak,Killstreak,Modded,2,2,11,18,flat,1,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x051205,0,Relentless,of Momentum
killstreak,Killstreak,Modded,3,3,18,25,flat,1,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x051205,0,Relentless,of Momentum
poison_damage,Poison Damage,Modded,1,1,1,3,flat,10,0,WEAPON,40,1,Summermyst - Enchantments of Skyrim.esp|0x05122A,0,Envenomed,of Venom
poison_damage,Poison Damage,Modded,2,2,3,4,flat,10,0,WEAPON,40,12,Summermyst - Enchantments of Skyrim.esp|0x05122A,0,Envenomed,of Venom
poison_damage,Poison Damage,Modded,3,3,4,6,flat,10,0,WEAPON,40,25,Summermyst - Enchantments of Skyrim.esp|0x05122A,0,Envenomed,of Venom
amplify_alteration,Amplify Alteration,Modded,1,1,12,25,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x0512A8,0,Shaping,of Shaping
amplify_alteration,Amplify Alteration,Modded,2,2,25,37,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x0512A8,0,Shaping,of Shaping
amplify_alteration,Amplify Alteration,Modded,3,3,37,50,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x0512A8,0,Shaping,of Shaping
amplify_illusion,Amplify Illusion,Modded,1,1,6,12,flat,0,0,ARMOR|RING|AMULET,40,1,Summermyst - Enchantments of Skyrim.esp|0x0512A9,0,Beguiling,of Beguilement
amplify_illusion,Amplify Illusion,Modded,2,2,12,19,flat,0,0,ARMOR|RING|AMULET,40,12,Summermyst - Enchantments of Skyrim.esp|0x0512A9,0,Beguiling,of Beguilement
amplify_illusion,Amplify Illusion,Modded,3,3,19,25,flat,0,0,ARMOR|RING|AMULET,40,25,Summermyst - Enchantments of Skyrim.esp|0x0512A9,0,Beguiling,of Beguilement
